"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Проверяет: при клике на логотип Самоката открывается главная страница.
","1236","test_scooter_logo_opens_main_page","tests","2026-01-31","passed","2026-01-31","TestLogoNavigation","test_navigation","",""
"
Проверяет, что при клике на вопрос открывается соответствующий текст ответа.
Отдельный тест на каждый из 8 вопросов.
","952","test_faq_question_opens_correct_answer[4]","tests","2026-01-31","passed","2026-01-31","TestFAQ","test_faq","",""
"
Позитивный сценарий заказа:
1. Нажать кнопку Заказать (вверху или внизу)
2. Заполнить форму заказа
3. Проверить появление всплывающего окна об успешном создании заказа
","22306","test_successful_order_flow[\u041d\u0438\u0436\u043d\u044f\u044f \u043a\u043d\u043e\u043f\u043a\u0430 \u0417\u0430\u043a\u0430\u0437\u0430\u0442\u044c]","tests","2026-01-31","broken","2026-01-31","TestOrder","test_order","",""
"
Проверяет, что при клике на вопрос открывается соответствующий текст ответа.
Отдельный тест на каждый из 8 вопросов.
","1044","test_faq_question_opens_correct_answer[5]","tests","2026-01-31","passed","2026-01-31","TestFAQ","test_faq","",""
"
Проверяет, что при клике на вопрос открывается соответствующий текст ответа.
Отдельный тест на каждый из 8 вопросов.
","1124","test_faq_question_opens_correct_answer[3]","tests","2026-01-31","passed","2026-01-31","TestFAQ","test_faq","",""
"
Проверяет: при клике на логотип Яндекса в новом окне
через редирект открывается главная страница Дзена.
","2992","test_yandex_logo_opens_dzen","tests","2026-01-31","passed","2026-01-31","TestLogoNavigation","test_navigation","",""
"
Проверяет, что при клике на вопрос открывается соответствующий текст ответа.
Отдельный тест на каждый из 8 вопросов.
","1432","test_faq_question_opens_correct_answer[0]","tests","2026-01-31","passed","2026-01-31","TestFAQ","test_faq","",""
"
Проверяет, что при клике на вопрос открывается соответствующий текст ответа.
Отдельный тест на каждый из 8 вопросов.
","1093","test_faq_question_opens_correct_answer[1]","tests","2026-01-31","passed","2026-01-31","TestFAQ","test_faq","",""
"
Проверяет, что при клике на вопрос открывается соответствующий текст ответа.
Отдельный тест на каждый из 8 вопросов.
","1026","test_faq_question_opens_correct_answer[6]","tests","2026-01-31","passed","2026-01-31","TestFAQ","test_faq","",""
"
Проверяет, что при клике на вопрос открывается соответствующий текст ответа.
Отдельный тест на каждый из 8 вопросов.
","995","test_faq_question_opens_correct_answer[2]","tests","2026-01-31","passed","2026-01-31","TestFAQ","test_faq","",""
"
Позитивный сценарий заказа:
1. Нажать кнопку Заказать (вверху или внизу)
2. Заполнить форму заказа
3. Проверить появление всплывающего окна об успешном создании заказа
","22225","test_successful_order_flow[\u0412\u0435\u0440\u0445\u043d\u044f\u044f \u043a\u043d\u043e\u043f\u043a\u0430 \u0417\u0430\u043a\u0430\u0437\u0430\u0442\u044c]","tests","2026-01-31","broken","2026-01-31","TestOrder","test_order","",""
"
Проверяет, что при клике на вопрос открывается соответствующий текст ответа.
Отдельный тест на каждый из 8 вопросов.
","1136","test_faq_question_opens_correct_answer[7]","tests","2026-01-31","passed","2026-01-31","TestFAQ","test_faq","",""
